,joints,markers
45,[ 2.22747797 -0.88046366  2.05905963  1.08104694 -0.75494126 -0.25165349 -1.13369498 -0.73753708 -0.16847434 -0.37310024  2.10411622 -0.66061228 -2.2775571  -1.71082276 -0.92454513  0.08521649  0.14472391  0.          0.        ],"[[-3.41489648  2.75327616  1.16933547]
 [-2.11626939  1.68454476  1.85125324]]"
46,[-0.58270954 -0.1923797   0.7050558   2.46761723 -0.50811842  0.60151094  0.21090628 -2.25255735 -0.54772371  1.13546312 -0.82456797  0.20064757 -1.79511098  0.2538082   2.47576312 -0.10292008  0.47812959  0.          0.        ],"[[-1.57608316  1.96916797  2.27661475]
 [-3.32575306  2.78840958  2.08152644]]"
47,[-1.41649157 -1.25589098  2.09868779  2.79437306  0.13468186  2.40826169 -1.97126268 -0.10808008 -0.6103937   0.98676367 -0.80370959  0.76544399  2.02048465  1.60190799 -1.25351637  1.05098383  2.20872495  0.          0.        ],"[[-2.8614341   1.64938103  1.77967509]
 [-2.13931346  2.1930622   1.82143366]]"
48,[ 0.71770791 -0.31204221  1.11395808  1.93862258  1.02736554 -2.86831344  0.45261917  0.22501002 -0.75048011 -0.36244268 -2.49747948 -0.83760398 -1.46026657  0.44317778 -0.84029975 -0.11923226  2.31036866  0.          0.        ],"[[-1.59915808  2.46710439  1.42204338]
 [-2.82085302  1.69664634  2.22182893]]"
49,[-0.01717492 -1.01830196  1.39987823 -2.01498779  0.01240454  0.31924719 -1.77116708  2.20371294  0.40684146  2.28905796 -0.08334789  0.59199299  0.07060513 -0.51489691 -1.10056641  0.14974325  0.78542574  0.          0.        ],"[[-2.01866961  2.10772701  1.9809706 ]
 [-3.20309819  1.66345814  2.23215327]]"
50,[-0.16541506 -0.46915663  1.45556498  1.79338091 -0.08632709  0.45883025  0.65612084 -1.20653212 -0.73514468  1.56433618 -0.2259189  -0.01469498  0.8484658   0.46667532  0.89224732 -0.61654284  1.12484944  0.          0.        ],"[[-1.59681145  2.12170814  2.0502169 ]
 [-3.31673451  2.67985313  1.98703269]]"
51,[ 0.61570914 -1.12985548  1.57760437 -1.26634289 -0.80564082 -1.03509413 -1.14888885  1.8263566   0.40969765  1.36534669 -0.84898938 -0.5142237  -1.12655354 -1.54917707 -2.58615683 -0.05479822  1.04958355  0.          0.        ],"[[-1.55397402  2.12152041  1.85217167]
 [-3.07633097  1.71095618  1.97361361]]"
52,[ 3.19681014 -0.6437611   1.0809577  -0.84871683  0.87597179  1.47115817 -1.53673145 -0.65659795 -0.60116389  0.40448978  1.86014208 -0.01983774  0.41024571  0.1456879   1.50072315  0.60399555  1.96168099  0.          0.        ],"[[-3.49004058  1.96641367  1.90559062]
 [-1.75524693  2.13880432  2.09484178]]"
53,[ 2.68896279 -0.56440346  1.9828053   0.208328   -0.5632991   2.8700117  -1.96206453 -2.87676112  0.50801956 -0.33285933  2.41478645  0.02594031 -0.81141842 -0.3770138  -1.7633025  -0.0051557   0.28756885  0.          0.        ],"[[-3.39400417  1.54637128  1.35054772]
 [-1.60872174  1.29286776  1.62038706]]"
54,[ 0.10396998 -0.77201853  1.76351608 -0.69904375  0.40189848  0.02067225  0.22047231 -0.41843061  0.79331784  1.44801435  1.26545172  0.03734904 -0.73237848 -0.00804804 -1.22160346  1.15045975  0.75182646  0.          0.        ],"[[-1.65143808  2.31085633  1.98215605]
 [-3.48176271  1.87489196  1.87877904]]"
55,[-0.96651058 -0.87658137  1.61473979  0.66977629 -1.52997479 -0.77678935  0.50660348  0.44673518  0.85954574 -0.76818678 -0.16021303 -1.18888892  0.53655018  0.69918687 -0.52445509  1.01281321 -0.34207904  0.          0.        ],"[[-1.63022996  1.88177484  0.96941927]
 [-3.04663564  2.91649848  1.1423873 ]]"
56,[ 2.86123872 -0.55845098  2.3000551  -2.6730818   0.98194053 -1.93911162  1.35720969 -0.49710395 -0.66846143  1.03586915  2.37169916 -0.69788814  1.34795623 -0.10186897  1.60602846  0.4111271   1.69654472  0.          0.        ],"[[-3.52144361  1.68115719  1.51721141]
 [-2.0531142   1.31495957  1.91667774]]"
57,[ 0.16434002 -0.92256895  2.26222193  0.34073116  0.92489806 -1.33943753 -0.18623037 -1.08247762 -0.07187758  1.24633602  2.06262901  0.41645541  1.96254623  0.5876467   2.21071799 -0.45127022 -0.39254309  0.          0.        ],"[[-2.3061034   1.75962386  2.10195726]
 [-3.5252835   1.53928227  1.40224332]]"
58,[-0.39022877 -0.61997429  1.7722226  -1.9013996   0.13252878  0.44018288  0.56425495  1.67370402  1.04509457 -0.39224135  1.91402887 -0.98551009 -2.43068216 -1.34072682 -0.1038066  -0.39976343  1.34508759  0.          0.        ],"[[-1.4884438   1.71690629  1.64440578]
 [-3.02571899  2.55229969  1.98512338]]"
59,[-1.6061752  -0.17159857  0.82906361  2.89715684  1.73619468 -0.66599778  1.29466709 -1.7541857   0.37454031 -0.06620183  0.42320748  0.00891269  1.25865137  1.40744991 -0.79728439  0.50971648  1.94022857  0.          0.        ],"[[-2.95049421  1.39769718  1.34580369]
 [-2.22851461  2.6035168   2.17387574]]"
60,[ 0.79688012 -0.9078638   2.35073157  2.27186825 -0.09504199  1.1699489  -0.17588281  2.73788674  0.67692987  0.41426321 -2.04535129 -0.88205547  1.7076208  -0.16295087 -0.5822799   0.42367511  0.61353041  0.          0.        ],"[[-1.898522    2.84613138  1.77395738]
 [-2.43500671  1.27254309  1.78263924]]"
61,[-1.27407751 -0.91710355  1.32594806  1.45385077  1.17668265  1.37524382 -1.75690434 -2.78797585  1.09452382 -0.06248359  1.42110834 -1.92329545  2.79832196 -1.28593226  0.261926    1.16703062  2.18839135  0.          0.        ],"[[-2.64970534  1.10920582  1.75884348]
 [-2.01114249  2.14780491  1.63269573]]"
62,[ 3.20370352 -0.5545731   0.55638781  2.09774875 -0.13596461  1.00313502 -0.76837731  1.57657991  1.30457426  1.89827204  0.63870221 -0.7952191  -2.53261055 -1.21808514 -0.33923117  0.62701542  1.88956368  0.          0.        ],"[[-3.47058454  1.86741283  2.02605944]
 [-1.84415537  1.89100482  1.93565605]]"
